PN,PNnoun,CorpName
287T6205-24,"HARNESS, WIRE ASSY",BAE SYSTEMS
69-37314-59,"MODULE, A/C SYSTEM GEN.",BAE SYSTEMS
69-37314-62,"MODULE, A/C SYSTEM GEN.",BAE SYSTEMS
69-37314-65,"MODULE, A/C SYSTEM GEN.",BAE SYSTEMS
69-37315-300,"MODULE, POWER",BAE SYSTEMS
69-37315-63,"MODULE, GEN DRIVE/STAND PWR",BAE SYSTEMS
69-37315-76,"MODULE, GEN DRIVE/STAND PWR",BAE SYSTEMS
69-37315-84,"MODULE, GEN DRIVE/STAND PWR",BAE SYSTEMS
69-37315-96,"MODULE, GEN DRIVE/STAND PWR",BAE SYSTEMS
69-37317-43,"MODULE, HYDRAULIC",BAE SYSTEMS
69-37317-43,"MODULE, HYDRAULIC",BAE SYSTEMS
69-37317-73,"MODULE, HYDRAULIC",BAE SYSTEMS
69-37319-100,"MODULE, AIR CONDITIONING",BAE SYSTEMS
69-37319-144,"MODULE, AIR CONDITIONING",BAE SYSTEMS
69-37319-172,"MODULE, AIR CONDITIONING",BAE SYSTEMS
69-37319-224,"MODULE, AIR CONDITIONING ASSY",BAE SYSTEMS
69-37319-64,"MODULE, AIR CONDITIONING",BAE SYSTEMS
233T3241-8,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
233T3244-11,"PANEL, ENGINE IGNITION/START CONTROL",BAE SYSTEMS
233T3244-13,"PANEL, ENGINE IGNITION/START CONTROL",BAE SYSTEMS
233T3244-1306,"PANEL, ENGINE IGNITION/START CONTROL",BAE SYSTEMS
233T3244-1308,"PANEL, ENGINE IGNITION/START CONTROL",BAE SYSTEMS
233T3244-25,"PANEL, ENGINE IGNITION/START CONTROL",BAE SYSTEMS
233T3244-308,"PANEL, ENGINE IGNITION/START CONTROL",BAE SYSTEMS
233T3244-7,"PANEL, ENGINE IGNITION/START CONTROL",BAE SYSTEMS
233T4222-20,"PANEL, INTERPHONE JACK",BAE SYSTEMS
233T4240-7,"PANEL, MISC. SYSTEMS CONTROL",BAE SYSTEMS
233U3100-260,"MODULE, FIRE EXTINGUISH ENG/APU/CARGO",BAE SYSTEMS
233U3100-313,"MODULE, FIRE EXTINGUISH ENG/APU/CARGO",BAE SYSTEMS
233U3100-315,"MODULE, FIRE EXTINGUISH ENG/APU/CARGO",BAE SYSTEMS
233U3202-1024,"MODULE, ELECT./STANDBY POWER/APU START",BAE SYSTEMS
